timestamp,clientcon,clientcon_active,clientcon_idle,CPU,Mem,in,out
1617256800,1226,902,324,7,19,28,26
1617278400,1103,833,270,7,18,16,16
1617300000,1099,826,273,5,18,9,9
1617321600,1115,848,267,5,18,9,9
1617343200,1064,801,263,5,18,8,7
1617364800,1059,791,267,6,18,12,11
1617386400,1062,790,272,6,18,7,7
1617408000,1062,790,272,6,18,8,8
1617429600,1057,797,260,6,18,9,8
1617451200,1064,796,268,5,18,9,9
1617472800,1073,804,269,7,18,8,8
1617494400,1097,813,283,6,18,8,7
1617516000,1073,806,266,6,18,19,18
1617537600,1053,802,251,6,18,13,13
1617559200,1078,805,272,5,17,7,7
1617580800,1076,809,267,6,18,8,8
1617602400,1084,813,271,6,18,21,20
1617624000,1056,794,263,6,17,12,11
1617645600,1347,950,397,10,19,45,44
1617667200,1442,1021,420,11,20,44,45
1617688800,1231,910,321,8,19,16,15
1617710400,1126,841,285,7,18,14,14
1617732000,1424,1018,406,10,20,38,35
1617753600,1493,1048,445,10,20,33,32
1617775200,1231,895,336,7,19,19,18
1617796800,1140,845,295,6,19,14,13
1617818400,1434,1008,425,10,20,49,48
1617840000,1487,1056,432,11,21,60,59
1617861600,1245,901,344,7,20,19,18
1617883200,1143,843,300,6,19,18,18
1617904800,1426,990,436,10,20,42,40
1617926400,1475,1034,442,10,20,41,41
1617948000,1244,903,341,8,20,17,17
1617969600,1170,854,316,7,19,15,14
1617991200,1407,987,420,10,20,41,40
1618012800,1427,1009,418,10,20,50,48
1618034400,1166,830,337,7,19,19,19
1618056000,1094,785,309,6,19,14,13
1618077600,1101,784,317,6,19,10,10
1618099200,1095,786,309,7,18,12,11
1618120800,1057,781,277,6,19,11,11
1618142400,1029,763,266,6,18,12,11
1618164000,1056,765,290,6,18,8,7
1618185600,1044,765,278,6,18,8,7
1618207200,1037,760,277,6,18,10,9
1618228800,1017,751,266,6,18,17,16
1618250400,1341,932,409,9,19,41,39
1618272000,1446,1004,443,11,20,45,44
1618293600,1212,871,341,8,19,18,18
1618315200,1125,805,321,7,19,10,11
1618336800,1398,951,447,10,20,41,42
1618358400,1490,1003,486,11,20,54,56
1618380000,1239,876,362,9,20,37,40
1618401600,1152,814,338,7,19,14,17
1618423200,1418,963,455,11,20,60,61
1618444800,1450,994,456,13,20,67,71
1618464600,1085,792,293,12,19,11,25
1618466400,1073,783,290,6,19,13,25
1618468200,1041,769,272,6,19,7,19
1618470000,1029,759,270,5,19,9,21
1618471800,1043,758,285,9,19,15,29
1618473600,1025,747,279,6,19,40,51
1618475400,1031,746,285,5,19,7,20
1618477200,1033,748,285,6,19,7,19
1618479000,1012,743,269,9,19,6,20
1618480800,1013,741,272,8,19,6,18
1618482600,1000,745,256,10,18,6,17
1618484400,992,740,252,6,19,5,17
1618486200,1047,750,296,9,19,10,21
1618488000,1051,756,295,6,19,11,23
1618489800,1032,752,280,6,19,14,27
1618491600,1073,766,307,6,19,10,24
1618493400,1122,798,324,10,19,14,29
1618495200,1192,819,373,9,19,23,36
1618497000,1285,867,418,9,19,27,37
1618498800,1411,931,479,12,20,42,57
1618500600,1409,973,436,15,20,83,109
1618502400,1375,966,410,12,20,64,74
1618504200,1473,1006,468,10,20,37,45
1618506000,1538,1057,482,9,20,44,59
1618507800,1496,1027,468,12,20,40,52
1618509600,1445,1017,428,10,20,39,48
1618511400,1432,989,443,10,20,98,104
1618513200,1405,981,424,9,20,73,79
1618515000,1394,973,421,12,20,24,31
1618516800,1455,998,457,9,20,50,58
1618518600,1432,987,445,13,20,146,154
1618520400,1445,992,453,10,20,41,47
1618522200,1454,1007,448,12,20,34,39
1618524000,1474,1008,466,11,20,38,42
1618525800,1438,990,448,12,20,34,39
1618527600,1381,973,408,10,20,63,68
1618529400,1314,943,371,13,20,74,82
1618531200,1295,938,357,10,20,145,144
1618533000,1240,903,337,10,20,50,52
1618534800,1196,880,317,7,20,50,52
1618536600,1170,866,305,9,19,25,30
1618538400,1137,846,291,8,19,41,48
1618540200,1111,830,281,8,19,58,59
1618542000,1093,804,290,8,19,46,47
1618543800,1078,805,274,11,19,14,18
1618545600,1087,804,283,8,19,10,15
1618547400,1096,811,285,6,19,15,22
1618549200,1076,798,278,7,19,43,51
1618551000,1052,781,271,8,19,15,23
1618552800,1057,782,275,5,19,8,16
1618554600,1032,774,259,5,19,6,14
1618556400,1041,767,274,5,19,7,15
1618558200,1049,771,278,8,19,18,26
1618560000,1063,769,294,7,19,39,45
1618561800,1029,759,271,5,19,7,14
1618563600,1046,772,275,6,19,6,13
1618565400,1028,769,259,9,19,6,14
1618567200,1028,762,266,8,18,6,8
1618569000,1026,763,263,8,18,6,8
1618570800,1011,760,251,8,18,5,6
1618572600,1016,765,251,9,19,6,10
1618574400,1019,766,253,5,19,6,8
1618576200,1049,771,278,6,19,8,11
1618578000,1127,810,318,6,19,11,14
1618579800,1159,819,340,10,19,15,20
1618581600,1163,838,324,7,19,17,20
1618583400,1316,900,415,9,20,29,33
1618585200,1410,965,445,12,20,62,70
1618587000,1380,982,398,14,20,68,79
1618588800,1442,985,456,13,20,89,92
1618590600,1446,998,448,12,20,58,65
1618592400,1434,974,461,10,20,36,40
1618594200,1362,916,446,13,20,26,35
1618596000,1385,933,452,10,20,30,33
1618597800,1340,928,412,8,20,36,38
1618599600,1263,888,374,10,20,32,36
