timestamp,clientcon,clientcon_active,clientcon_idle
1617256800,1226,902,324
1617278400,1103,833,270
1617300000,1099,826,273
1617321600,1115,848,267
1617343200,1064,801,263
1617364800,1059,791,267
1617386400,1062,790,272
1617408000,1062,790,272
1617429600,1057,797,260
1617451200,1064,796,268
1617472800,1073,804,269
1617494400,1097,813,283
1617516000,1073,806,266
1617537600,1053,802,251
1617559200,1078,805,272
1617580800,1076,809,267
1617602400,1084,813,271
1617624000,1056,794,263
1617645600,1347,950,397
1617667200,1442,1021,420
1617688800,1231,910,321
1617710400,1126,841,285
1617732000,1424,1018,406
1617753600,1493,1048,445
1617775200,1231,895,336
1617796800,1140,845,295
1617818400,1434,1008,425
1617840000,1487,1056,432
1617861600,1245,901,344
1617883200,1143,843,300
1617904800,1426,990,436
1617926400,1475,1034,442
1617948000,1244,903,341
1617969600,1170,854,316
1617991200,1407,987,420
1618012800,1427,1009,418
1618034400,1166,830,337
1618056000,1094,785,309
1618077600,1101,784,317
1618099200,1095,786,309
1618120800,1057,781,277
1618142400,1029,763,266
1618164000,1056,765,290
1618185600,1044,765,278
1618207200,1037,760,277
1618228800,1017,751,266
1618250400,1341,932,409
1618272000,1446,1004,443
1618293600,1212,871,341
1618315200,1125,805,321
1618336800,1398,951,447
1618358400,1490,1003,486
1618380000,1239,876,362
1618401600,1152,814,338
1618423200,1418,963,455
1618444800,1450,994,456
1618464600,1085,792,293
1618466400,1073,783,290
1618468200,1041,769,272
1618470000,1029,759,270
1618471800,1043,758,285
1618473600,1025,747,279
1618475400,1031,746,285
1618477200,1033,748,285
1618479000,1012,743,269
1618480800,1013,741,272
1618482600,1000,745,256
1618484400,992,740,252
1618486200,1047,750,296
1618488000,1051,756,295
1618489800,1032,752,280
1618491600,1073,766,307
1618493400,1122,798,324
1618495200,1192,819,373
1618497000,1285,867,418
1618498800,1411,931,479
1618500600,1409,973,436
1618502400,1375,966,410
1618504200,1473,1006,468
1618506000,1538,1057,482
1618507800,1496,1027,468
1618509600,1445,1017,428
1618511400,1432,989,443
1618513200,1405,981,424
1618515000,1394,973,421
1618516800,1455,998,457
1618518600,1432,987,445
1618520400,1445,992,453
1618522200,1454,1007,448
1618524000,1474,1008,466
1618525800,1438,990,448
1618527600,1381,973,408
1618529400,1314,943,371
1618531200,1295,938,357
1618533000,1240,903,337
1618534800,1196,880,317
1618536600,1170,866,305
1618538400,1137,846,291
1618540200,1111,830,281
1618542000,1093,804,290
1618543800,1078,805,274
1618545600,1087,804,283
1618547400,1096,811,285
1618549200,1076,798,278
1618551000,1052,781,271
1618552800,1057,782,275
1618554600,1032,774,259
1618556400,1041,767,274
1618558200,1049,771,278
1618560000,1063,769,294
1618561800,1029,759,271
1618563600,1046,772,275
1618565400,1028,769,259
1618567200,1028,762,266
1618569000,1026,763,263
1618570800,1011,760,251
1618572600,1016,765,251
1618574400,1019,766,253
1618576200,1049,771,278
1618578000,1127,810,318
1618579800,1159,819,340
1618581600,1163,838,324
1618583400,1316,900,415
1618585200,1410,965,445
1618587000,1380,982,398
1618588800,1442,985,456
1618590600,1446,998,448
1618592400,1434,974,461
1618594200,1362,916,446
1618596000,1385,933,452
1618597800,1340,928,412
1618599600,1263,888,374
1618601400,1295,907,389
1618603200,1365,930,435
1618605000,1346,932,414
1618606800,1403,943,461
1618608600,1375,945,430
1618610400,1381,945,436
1618612200,1396,943,452
1618614000,1305,909,396
1618615800,1315,915,400
1618617600,1300,893,407
1618619400,1234,862,372
1618621200,1218,851,367
1618623000,1148,819,329
1618624800,1133,810,323
1618626600,1103,798,305
1618628400,1078,790,288
1618630200,1059,792,267
1618632000,1056,778,278
1618633800,1028,764,263
1618635600,1062,775,287
1618637400,1025,764,261
1618639200,1009,763,246
1618641000,997,746,251
1618642800,993,742,251
1618644600,1020,754,266
1618646400,1013,751,262
1618648200,1010,746,264
1618650000,1010,748,262
1618651800,1004,739,265
1618653600,1011,738,272
1618655400,1004,749,255
1618657200,990,734,256
1618659000,990,739,251
1618660800,997,742,255
1618662600,1009,743,266
1618664400,993,739,254
1618666200,984,738,246
1618668000,997,748,249
1618669800,997,747,250
1618671600,993,738,255
1618673400,983,742,241
1618675200,997,754,243
1618677000,976,730,246
1618678800,1000,750,250
1618680600,995,743,252
1618682400,991,740,250
1618684200,966,733,233
1618686000,981,728,253
1618687800,980,732,248
1618689600,982,729,253
1618691400,984,743,242
1618693200,966,727,239
1618695000,972,735,237
1618696800,966,724,242
1618698600,952,723,229
1618700400,960,725,235
1618702200,959,726,232
1618704000,942,718,224
1618705800,949,720,229
1618707600,946,721,224
1618709400,950,722,228
1618711200,944,717,226
1618713000,952,719,233
1618714800,944,723,221
1618716600,966,722,243
1618718400,947,716,232
1618720200,938,716,222
1618722000,951,704,246
1618723800,930,694,236
1618725600,925,706,219
1618727400,917,691,227
1618729200,945,708,237
1618731000,927,702,224
1618732800,929,705,224
1618734600,917,693,224
1618736400,922,700,222
1618738200,906,693,213
1618740000,908,691,217
1618741800,897,698,199
1618743600,893,688,204
1618745400,879,690,190
1618747200,915,705,210
1618749000,896,695,202
1618750800,918,699,219
1618752600,915,700,215
1618754400,922,703,219
1618756200,911,704,207
1618758000,907,696,211
1618759800,914,698,216
1618761600,942,713,229
1618763400,927,710,217
1618765200,939,706,234
1618767000,954,718,236
1618768800,958,711,247
1618770600,944,726,218
1618772400,933,715,218
1618774200,934,710,224
1618776000,948,714,234
1618777800,946,712,235
1618779600,927,703,225
1618781400,935,712,223
1618783200,928,710,218
1618785000,940,724,216
1618786800,948,717,231
1618788600,956,722,234
1618790400,942,719,223
1618792200,942,708,235
1618794000,950,720,231
1618795800,950,718,232
1618797600,969,729,240
1618799400,952,725,226
1618801200,959,725,234
1618803000,933,720,214
1618804800,941,725,215
1618806600,929,721,208
1618808400,925,715,210
1618810200,937,719,217
1618812000,932,715,217
1618813800,910,709,201
1618815600,924,705,219
1618817400,925,705,220
1618819200,922,699,224
1618821000,918,700,218
1618822800,916,699,218
1618824600,908,693,215
1618826400,908,696,211
1618828200,901,694,207
1618830000,920,706,215
1618831800,911,699,211
1618833600,912,700,211
1618835400,930,710,220
1618837200,980,731,249
1618839000,1042,751,291
1618840800,1080,789,291
1618842600,1249,850,399
1618844400,1330,901,429
1618846200,1327,920,407
1618848000,1414,948,466
1618849800,1392,971,421
1618851600,1417,983,434
1618853400,1432,998,434
1618855200,1400,986,413
1618857000,1355,983,371
1618858800,1311,958,353
1618860600,1345,971,373
1618862400,1361,975,386
1618864200,1387,1015,373
1618866000,1405,1006,399
1618867800,1420,1020,400
1618869600,1463,1024,439
1618871400,1411,1021,389
1618873200,1405,1014,391
1618875000,1337,986,351
1618876800,1279,948,331
1618878600,1236,916,320
1618880400,1208,904,303
1618882200,1193,882,311
1618884000,1160,876,284
1618885800,1118,857,260
1618887600,1125,846,279
1618889400,1145,850,294
1618891200,1086,832,254
1618893000,1074,814,260
1618894800,1052,797,255
1618896600,1040,794,246
1618898400,1026,786,241
1618900200,1031,792,239
1618902000,1043,798,245
1618903800,1020,777,243
1618905600,1034,790,245
1618907400,1012,767,246
1618909200,1009,764,244
1618911000,1012,768,245
1618912800,1022,764,257
1618914600,988,758,230
1618916400,986,761,226
1618918200,1012,774,238
1618920000,1026,779,248
1618921800,1031,778,254
1618923600,1057,791,266
1618925400,1094,809,285
1618927200,1153,836,317
1618929000,1293,903,390
1618930800,1363,957,406
1618932600,1421,992,429
1618934400,1444,1019,425
1618936200,1459,1012,446
1618938000,1506,1027,480
1618939800,1464,1028,436
1618941600,1412,1014,398
1618943400,1390,1005,385
1618945200,1360,977,383
1618947000,1373,961,412
1618948800,1385,982,403
1618950600,1375,985,389
1618952400,1467,1011,456
1618954200,1395,1023,371
1618956000,1457,1039,418
1618957800,1428,1042,386
1618959600,1389,1023,366
1618961400,1367,1010,357
1618963200,1295,966,329
1618965000,1287,944,344
1618966800,1239,914,325
1618968600,1195,897,297
1618970400,1191,899,292
1618972200,1185,890,294
1618974000,1168,889,279
1618975800,1211,893,317
1618977600,1176,878,298
1618979400,1130,844,285
1618981200,1112,834,278
1618983000,1084,831,253
1618984800,1092,830,262
1618986600,1062,805,257
1618988400,1076,808,268
1618990200,1072,806,266
1618992000,1092,809,283
1618993800,1091,806,285
1618995600,1095,809,286
1618997400,1062,801,261
1618999200,1047,798,249
1619001000,1035,796,239
1619002800,1039,796,244
1619004600,1035,795,240
1619006400,1066,809,257
1619008200,1071,813,258
1619010000,1121,832,289
1619011800,1167,883,284
1619013600,1199,889,309
1619015400,1341,955,386
1619017200,1415,982,432
1619019000,1454,1023,431
1619020800,1483,1027,455
1619022600,1530,1013,517
1619024400,1539,1046,494
1619026200,1554,1062,492
1619028000,1489,1050,438
1619029800,1457,1015,443
1619031600,1407,987,420
1619033400,1429,992,437
1619035200,1449,1011,438
1619037000,1446,1008,438
1619038800,1505,1024,481
1619040600,1489,1030,459
1619042400,1428,1017,411
1619044200,1434,1008,425
1619046000,1417,1006,410
1619047800,1314,950,364
1619049600,1260,931,329
1619051400,1291,920,371
1619053200,1287,924,363
1619055000,1233,897,336
1619056800,1200,888,312
1619058600,1230,893,337
1619060400,1208,876,332
1619062200,1220,869,351
1619064000,1176,862,314
1619065800,1158,837,321
1619067600,1145,835,310
1619069400,1120,825,295
1619071200,1125,833,292
1619073000,1098,809,289
1619074800,1103,819,284
1619076600,1077,810,267
1619078400,1086,804,283
1619080200,1094,800,295
